"rt","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","participant_id","consent_response","consent_timestamp","view_history","trial_type_label","no","exp_id","condition","item_type","item_id","is_practice","word","word_index","word_count","too_fast","correct_answer","response_label","correct"
"2267","
  <div class=""consent-text"">

    <h2>Consent Agreement</h2>

    <p>
      Please read this consent agreement carefully before deciding whether to participate in this experiment.
    </p>

    <p>
      <strong>Description:</strong>
      You are invited to participate in a research study about language and cognition.
      The purpose of the research is to understand how people process and comprehend complex sentences.
      This research will be conducted through the Prolific platform, including participants from the US, UK, and Canada.
    </p>

    <p>
      <strong>Time Involvement:</strong>
      The task will last the amount of time advertised on Prolific.
      You are free to withdraw from the study at any time.
    </p>

    <p>
      <strong>Risks and Benefits:</strong>
      Study data will be stored securely, in compliance with Stanford University standards,
      minimizing the risk of confidentiality breach.
      This study advances our scientific understanding of how people process complex sentences.
      We cannot and do not guarantee or promise that you will receive any benefits from this study.
    </p>

    <p>
      <strong>Compensation:</strong>
      You will receive payment in the amount advertised on Prolific.
      If you do not complete this study, you will receive prorated payment based on the time that you have spent.
      Additionally, you may be eligible for bonus payments as described in the instructions.
    </p>

    <p>
      <strong>Participant's Rights:</strong>
      If you have read this form and have decided to participate in this project,
      please understand your participation is voluntary and you have the right to withdraw your consent
      or discontinue participation at any time without penalty or loss of benefits to which you are otherwise entitled.
      The alternative is not to participate.
      You have the right to refuse to answer particular questions.
      The results of this research study may be presented at scientific or professional meetings
      or published in scientific journals.
      Your individual privacy will be maintained in all published and written data resulting from the study.
      In accordance with scientific norms, the data from this study may be used or shared with other researchers
      for future research (after removing personally identifying information) without additional consent from you.
    </p>

    <p>
      <strong>Contact Information:</strong>
      If you have any questions, concerns, or complaints about this research,
      its procedures, risks, and benefits, contact Oliver Lee
      (<a href=""mailto:oliver.lee@stanford.edu"">oliver.lee@stanford.edu</a>, 217-549-6923).
    </p>

    <p>
      <strong>Independent Contact:</strong>
      If you are not satisfied with how this study is being conducted,
      or if you have any concerns, complaints, or general questions about the research
      or your rights as a participant, please contact the Stanford Institutional Review Board (IRB)
      to speak to someone independent of the research team at 650-723-2480
      or toll free at 1-866-680-2906,
      or email at irbnonmed@stanford.edu.

      You can also write to the Stanford IRB,
      Stanford University, 1705 El Camino Real, Palo Alto, CA 94306.

      Please save or print a copy of this page for your records.
    </p>

    <p>
      <strong>
        If you agree to participate in this research, please click ""I agree"".
      </strong>
    </p>

  </div>
  ","0","html-button-response","0","2290","0.0-0.0","6627022aef53030b919b43c2","6a04f72bb0f4a868caeeb473","6a0554e5c19412adafc6469a","vg74l3ea","agree","2026-05-14T04:52:17.031Z","","","","","","","","","","","","","","",""
"59525","","","instructions","1","61819","0.0-1.0","6627022aef53030b919b43c2","6a04f72bb0f4a868caeeb473","6a0554e5c19412adafc6469a","vg74l3ea","","","[{""page_index"":0,""viewing_time"":16427},{""page_index"":1,""viewing_time"":39477},{""page_index"":2,""viewing_time"":3620}]","instructions","","","","","","","","","","","","",""
"null","<span class=""fixation"">+</span>","null","html-keyboard-response","2","62328","0.0-2.0","6627022aef53030b919b43c2","6a04f72bb0f4a868caeeb473","6a0554e5c19412adafc6469a","vg74l3ea","","","","fixation","P1","practice","practice","practice","p1","1","","","","","","",""
"1534","<div class=""spr-display"">--- --- --- -- --- ----"," ","html-keyboard-response","3","63865","0.0-3.0","6627022aef53030b919b43c2","6a04f72bb0f4a868caeeb473","6a0554e5c19412adafc6469a","vg74l3ea","","","","prompt","P1","practice","practice","practice","p1","1","","","","","","",""
"1863","<div class=""spr-display"">The --- --- -- --- ----</div>"," ","html-keyboard-response","4","65730","0.0-4.0","6627022aef53030b919b43c2","6a04f72bb0f4a868caeeb473","6a0554e5c19412adafc6469a","vg74l3ea","","","","spr_word","P1","practice","practice","practice","p1","1","The","0","6","false","","",""
"696","<div class=""spr-display"">The cat --- -- --- ----</div>"," ","html-keyboard-response","5","66428","0.0-5.0","6627022aef53030b919b43c2","6a04f72bb0f4a868caeeb473","6a0554e5c19412adafc6469a","vg74l3ea","","","","spr_word","P1","practice","practice","practice","p1","1","cat","1","6","false","","",""
"569","<div class=""spr-display"">The cat sat -- --- ----</div>"," ","html-keyboard-response","6","66998","0.0-6.0","6627022aef53030b919b43c2","6a04f72bb0f4a868caeeb473","6a0554e5c19412adafc6469a","vg74l3ea","","","","spr_word","P1","practice","practice","practice","p1","1","sat","2","6","false","","",""
"501","<div class=""spr-display"">The cat sat on --- ----</div>"," ","html-keyboard-response","7","67501","0.0-7.0","6627022aef53030b919b43c2","6a04f72bb0f4a868caeeb473","6a0554e5c19412adafc6469a","vg74l3ea","","","","spr_word","P1","practice","practice","practice","p1","1","on","3","6","false","","",""
"471","<div class=""spr-display"">The cat sat on the ----</div>"," ","html-keyboard-response","8","67974","0.0-8.0","6627022aef53030b919b43c2","6a04f72bb0f4a868caeeb473","6a0554e5c19412adafc6469a","vg74l3ea","","","","spr_word","P1","practice","practice","practice","p1","1","the","4","6","false","","",""
"4827","<div class=""spr-display"">The cat sat on the mat.</div>"," ","html-keyboard-response","9","72802","0.0-9.0","6627022aef53030b919b43c2","6a04f72bb0f4a868caeeb473","6a0554e5c19412adafc6469a","vg74l3ea","","","","spr_word","P1","practice","practice","practice","p1","1","mat.","5","6","false","","",""
"3611","<div class=""comprehension-box"">
                    <p>Was there an animal mentioned in the sentence?</p>
                    <p>Press <span class=""key-label"">F</span> for <strong>Yes</strong> &nbsp;|&nbsp;
                    Press <span class=""key-label"">J</span> for <strong>No</strong></p>
                </div>","f","html-keyboard-response","10","76465","0.0-10.0","6627022aef53030b919b43c2","6a04f72bb0f4a868caeeb473","6a0554e5c19412adafc6469a","vg74l3ea","","","","comprehension","P1","practice","practice","practice","p1","1","","","","","f","Yes","true"
"986","<div class=""comprehension-box"">
                    <p class=""feedback-correct"">Correct!</p>
                    <p style=""margin-top:20px; font-size:16px; color:#555;"">
                    Press <span class=""key-label"">SPACE</span> to continue.
                    </p>
                </div>"," ","html-keyboard-response","11","77454","0.0-11.0","6627022aef53030b919b43c2","6a04f72bb0f4a868caeeb473","6a0554e5c19412adafc6469a","vg74l3ea","","","","feedback","P1","practice","practice","practice","p1","1","","","","","","",""
"null","<span class=""fixation"">+</span>","null","html-keyboard-response","12","77959","0.0-12.0","6627022aef53030b919b43c2","6a04f72bb0f4a868caeeb473","6a0554e5c19412adafc6469a","vg74l3ea","","","","fixation","P2","practice","practice","practice","p2","1","","","","","","",""
"468","<div class=""spr-display"">--- ------ - --- ----- -- --- -------"," ","html-keyboard-response","13","78429","0.0-13.0","6627022aef53030b919b43c2","6a04f72bb0f4a868caeeb473","6a0554e5c19412adafc6469a","vg74l3ea","","","","prompt","P2","practice","practice","practice","p2","1","","","","","","",""
"307","<div class=""spr-display"">She ------ - --- ----- -- --- -------</div>"," ","html-keyboard-response","14","78738","0.0-14.0","6627022aef53030b919b43c2","6a04f72bb0f4a868caeeb473","6a0554e5c19412adafc6469a","vg74l3ea","","","","spr_word","P2","practice","practice","practice","p2","1","She","0","8","false","","",""
"335","<div class=""spr-display"">She bought - --- ----- -- --- -------</div>"," ","html-keyboard-response","15","79074","0.0-15.0","6627022aef53030b919b43c2","6a04f72bb0f4a868caeeb473","6a0554e5c19412adafc6469a","vg74l3ea","","","","spr_word","P2","practice","practice","practice","p2","1","bought","1","8","false","","",""
"319","<div class=""spr-display"">She bought a --- ----- -- --- -------</div>"," ","html-keyboard-response","16","79395","0.0-16.0","6627022aef53030b919b43c2","6a04f72bb0f4a868caeeb473","6a0554e5c19412adafc6469a","vg74l3ea","","","","spr_word","P2","practice","practice","practice","p2","1","a","2","8","false","","",""
"382","<div class=""spr-display"">She bought a red ----- -- --- -------</div>"," ","html-keyboard-response","17","79778","0.0-17.0","6627022aef53030b919b43c2","6a04f72bb0f4a868caeeb473","6a0554e5c19412adafc6469a","vg74l3ea","","","","spr_word","P2","practice","practice","practice","p2","1","red","3","8","false","","",""
"342","<div class=""spr-display"">She bought a red dress -- --- -------</div>"," ","html-keyboard-response","18","80122","0.0-18.0","6627022aef53030b919b43c2","6a04f72bb0f4a868caeeb473","6a0554e5c19412adafc6469a","vg74l3ea","","","","spr_word","P2","practice","practice","practice","p2","1","dress","4","8","false","","",""
"354","<div class=""spr-display"">She bought a red dress at --- -------</div>"," ","html-keyboard-response","19","80477","0.0-19.0","6627022aef53030b919b43c2","6a04f72bb0f4a868caeeb473","6a0554e5c19412adafc6469a","vg74l3ea","","","","spr_word","P2","practice","practice","practice","p2","1","at","5","8","false","","",""
"438","<div class=""spr-display"">She bought a red dress at the -------</div>"," ","html-keyboard-response","20","80917","0.0-20.0","6627022aef53030b919b43c2","6a04f72bb0f4a868caeeb473","6a0554e5c19412adafc6469a","vg74l3ea","","","","spr_word","P2","practice","practice","practice","p2","1","the","6","8","false","","",""
"1983","<div class=""spr-display"">She bought a red dress at the market.</div>"," ","html-keyboard-response","21","82901","0.0-21.0","6627022aef53030b919b43c2","6a04f72bb0f4a868caeeb473","6a0554e5c19412adafc6469a","vg74l3ea","","","","spr_word","P2","practice","practice","practice","p2","1","market.","7","8","false","","",""
"4251","<div class=""comprehension-box"">
                    <p>Did she buy something blue?</p>
                    <p>Press <span class=""key-label"">F</span> for <strong>Yes</strong> &nbsp;|&nbsp;
                    Press <span class=""key-label"">J</span> for <strong>No</strong></p>
                </div>","j","html-keyboard-response","22","87154","0.0-22.0","6627022aef53030b919b43c2","6a04f72bb0f4a868caeeb473","6a0554e5c19412adafc6469a","vg74l3ea","","","","comprehension","P2","practice","practice","practice","p2","1","","","","","j","No","true"
