"rt","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","participant_id","consent_response","consent_timestamp","view_history","trial_type_label","no","exp_id","condition","item_type","item_id","is_practice","word","word_index","word_count","too_fast","correct_answer","response_label","correct"
"2986","
  <div class=""consent-text"">

    <h2>Consent Agreement</h2>

    <p>
      Please read this consent agreement carefully before deciding whether to participate in this experiment.
    </p>

    <p>
      <strong>Description:</strong>
      You are invited to participate in a research study about language and cognition.
      The purpose of the research is to understand how people process and comprehend complex sentences.
      This research will be conducted through the Prolific platform, including participants from the US, UK, and Canada.
    </p>

    <p>
      <strong>Time Involvement:</strong>
      The task will last the amount of time advertised on Prolific.
      You are free to withdraw from the study at any time.
    </p>

    <p>
      <strong>Risks and Benefits:</strong>
      Study data will be stored securely, in compliance with Stanford University standards,
      minimizing the risk of confidentiality breach.
      This study advances our scientific understanding of how people process complex sentences.
      We cannot and do not guarantee or promise that you will receive any benefits from this study.
    </p>

    <p>
      <strong>Compensation:</strong>
      You will receive payment in the amount advertised on Prolific.
      If you do not complete this study, you will receive prorated payment based on the time that you have spent.
      Additionally, you may be eligible for bonus payments as described in the instructions.
    </p>

    <p>
      <strong>Participant's Rights:</strong>
      If you have read this form and have decided to participate in this project,
      please understand your participation is voluntary and you have the right to withdraw your consent
      or discontinue participation at any time without penalty or loss of benefits to which you are otherwise entitled.
      The alternative is not to participate.
      You have the right to refuse to answer particular questions.
      The results of this research study may be presented at scientific or professional meetings
      or published in scientific journals.
      Your individual privacy will be maintained in all published and written data resulting from the study.
      In accordance with scientific norms, the data from this study may be used or shared with other researchers
      for future research (after removing personally identifying information) without additional consent from you.
    </p>

    <p>
      <strong>Contact Information:</strong>
      If you have any questions, concerns, or complaints about this research,
      its procedures, risks, and benefits, contact Oliver Lee
      (<a href=""mailto:oliver.lee@stanford.edu"">oliver.lee@stanford.edu</a>, 217-549-6923).
    </p>

    <p>
      <strong>Independent Contact:</strong>
      If you are not satisfied with how this study is being conducted,
      or if you have any concerns, complaints, or general questions about the research
      or your rights as a participant, please contact the Stanford Institutional Review Board (IRB)
      to speak to someone independent of the research team at 650-723-2480
      or toll free at 1-866-680-2906,
      or email at irbnonmed@stanford.edu.

      You can also write to the Stanford IRB,
      Stanford University, 1705 El Camino Real, Palo Alto, CA 94306.

      Please save or print a copy of this page for your records.
    </p>

    <p>
      <strong>
        If you agree to participate in this research, please click ""I agree"".
      </strong>
    </p>

  </div>
  ","0","html-button-response","0","3017","0.0-0.0","6965607e750428c9c80c803a","6a04f72bb0f4a868caeeb473","6a064fdd9fd347dc90585446","20frs6ol","agree","2026-05-14T22:42:55.171Z","","","","","","","","","","","","","","",""
"96561","","","instructions","1","99583","0.0-1.0","6965607e750428c9c80c803a","6a04f72bb0f4a868caeeb473","6a064fdd9fd347dc90585446","20frs6ol","","","[{""page_index"":0,""viewing_time"":13622},{""page_index"":1,""viewing_time"":80246},{""page_index"":2,""viewing_time"":2693}]","instructions","","","","","","","","","","","","",""
"null","<span class=""fixation"">+</span>","null","html-keyboard-response","2","100092","0.0-2.0","6965607e750428c9c80c803a","6a04f72bb0f4a868caeeb473","6a064fdd9fd347dc90585446","20frs6ol","","","","fixation","P1","practice","practice","practice","p1","1","","","","","","",""
"3544","<div class=""spr-display"">--- --- --- -- --- ----"," ","html-keyboard-response","3","103637","0.0-3.0","6965607e750428c9c80c803a","6a04f72bb0f4a868caeeb473","6a064fdd9fd347dc90585446","20frs6ol","","","","prompt","P1","practice","practice","practice","p1","1","","","","","","",""
"1923","<div class=""spr-display"">The --- --- -- --- ----</div>"," ","html-keyboard-response","4","105563","0.0-4.0","6965607e750428c9c80c803a","6a04f72bb0f4a868caeeb473","6a064fdd9fd347dc90585446","20frs6ol","","","","spr_word","P1","practice","practice","practice","p1","1","The","0","6","false","","",""
"928","<div class=""spr-display"">The cat --- -- --- ----</div>"," ","html-keyboard-response","5","106493","0.0-5.0","6965607e750428c9c80c803a","6a04f72bb0f4a868caeeb473","6a064fdd9fd347dc90585446","20frs6ol","","","","spr_word","P1","practice","practice","practice","p1","1","cat","1","6","false","","",""
"716","<div class=""spr-display"">The cat sat -- --- ----</div>"," ","html-keyboard-response","6","107212","0.0-6.0","6965607e750428c9c80c803a","6a04f72bb0f4a868caeeb473","6a064fdd9fd347dc90585446","20frs6ol","","","","spr_word","P1","practice","practice","practice","p1","1","sat","2","6","false","","",""
"415","<div class=""spr-display"">The cat sat on --- ----</div>"," ","html-keyboard-response","7","107627","0.0-7.0","6965607e750428c9c80c803a","6a04f72bb0f4a868caeeb473","6a064fdd9fd347dc90585446","20frs6ol","","","","spr_word","P1","practice","practice","practice","p1","1","on","3","6","false","","",""
"408","<div class=""spr-display"">The cat sat on the ----</div>"," ","html-keyboard-response","8","108036","0.0-8.0","6965607e750428c9c80c803a","6a04f72bb0f4a868caeeb473","6a064fdd9fd347dc90585446","20frs6ol","","","","spr_word","P1","practice","practice","practice","p1","1","the","4","6","false","","",""
"1033","<div class=""spr-display"">The cat sat on the mat.</div>"," ","html-keyboard-response","9","109072","0.0-9.0","6965607e750428c9c80c803a","6a04f72bb0f4a868caeeb473","6a064fdd9fd347dc90585446","20frs6ol","","","","spr_word","P1","practice","practice","practice","p1","1","mat.","5","6","false","","",""
