"view_history","rt","trial_type_label","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","response","no","exp_id","condition","item_type","item_id","is_practice","word","word_index","word_count","too_fast","correct_answer","response_label","correct"
"[{""page_index"":0,""viewing_time"":13302},{""page_index"":1,""viewing_time"":5333},{""page_index"":2,""viewing_time"":6183}]","24819","instructions","instructions","0","24820","0.0-0.0","4qcemy4k","","","","","","","","","","","","","","",""
"","null","fixation","html-keyboard-response","1","25324","0.0-1.0","4qcemy4k","<span class=""fixation"">+</span>","null","P1","practice","practice","practice","p1","1","","","","","","",""
"","1261","prompt","html-keyboard-response","2","26586","0.0-2.0","4qcemy4k","<div class=""spr-display"">--- --- --- -- --- ----</div>
                <p style=""font-size:18px; color:#555; margin-top:20px;"">
                    Press <span class=""key-label"">SPACE</span> to begin reading.
                </p>"," ","P1","practice","practice","practice","p1","1","","","","","","",""
"","768","spr_word","html-keyboard-response","3","27355","0.0-3.0","4qcemy4k","<div class=""spr-display"">The --- --- -- --- ----</div>"," ","P1","practice","practice","practice","p1","1","The","0","6","false","","",""
"","444","spr_word","html-keyboard-response","4","27801","0.0-4.0","4qcemy4k","<div class=""spr-display"">The cat --- -- --- ----</div>"," ","P1","practice","practice","practice","p1","1","cat","1","6","false","","",""
"","335","spr_word","html-keyboard-response","5","28137","0.0-5.0","4qcemy4k","<div class=""spr-display"">The cat sat -- --- ----</div>"," ","P1","practice","practice","practice","p1","1","sat","2","6","false","","",""
"","414","spr_word","html-keyboard-response","6","28553","0.0-6.0","4qcemy4k","<div class=""spr-display"">The cat sat on --- ----</div>"," ","P1","practice","practice","practice","p1","1","on","3","6","false","","",""
"","422","spr_word","html-keyboard-response","7","28976","0.0-7.0","4qcemy4k","<div class=""spr-display"">The cat sat on the ----</div>"," ","P1","practice","practice","practice","p1","1","the","4","6","false","","",""
"","1176","spr_word","html-keyboard-response","8","30154","0.0-8.0","4qcemy4k","<div class=""spr-display"">The cat sat on the mat.</div>"," ","P1","practice","practice","practice","p1","1","mat.","5","6","false","","",""
"","3157","comprehension","html-keyboard-response","9","33313","0.0-9.0","4qcemy4k","<div class=""comprehension-box"">
                    <p>Was there an animal mentioned in the sentence?</p>
                    <p>Press <span class=""key-label"">F</span> for <strong>Yes</strong> &nbsp;|&nbsp;
                    Press <span class=""key-label"">J</span> for <strong>No</strong></p>
                </div>","f","P1","practice","practice","practice","p1","1","","","","","f","Yes","true"
