no,exp_id,condition,item_type,item_id,stimulus
1,1a,a,1,1a-1,"A: How didn't Mary criticize John?
B: Harshly."
2,1a,b,1,1a-1,"A: Didn't Mary criticize John?
B: No, she didn't."
3,1a,c,1,1a-1,"A: Why didn't Mary criticize John?
B: Because his answer was correct."
4,1a,d,1,1a-1,"A: Why didn't Mary criticize John?
B: In order to look nice."
5,1a,a,2,1a-2,"A: How didn't Patrick scold Naomi?
B: Harshly."
6,1a,b,2,1a-2,"A: Didn't Patrick scold Naomi?
B: No, he didn't."
7,1a,c,2,1a-2,"A: Why didn't Patrick scold Naomi?
B: Because Naomi was nice."
8,1a,d,2,1a-2,"A: Why didn't Patrick scold Naomi?
B: In order to pretend that he is a nice person."
9,1a,a,3,1a-3,"A: How didn't Alexis hit Bob?
B: Harshly."
10,1a,b,3,1a-3,"A: Didn't Alexis hit Bob?
B: No, she didn't."
11,1a,c,3,1a-3,"A: Why didn't Alexis hit Bob?
B: Because Bob didn't do anything wrong."
12,1a,d,3,1a-3,"A: Why didn't Alexis hit Bob?
B: In order to protect herself from being attacked."
13,1a,a,4,1a-4,"A: How didn't Sean shout at Kate?
B: Loudly."
14,1a,b,4,1a-4,"A: Didn't Sean shout at Kate?
B: No, he didn't."
15,1a,c,4,1a-4,"A: Why didn't Sean shout at Kate?
B: Because Sean was not annoyed at Kate."
16,1a,d,4,1a-4,"A: Why didn't Sean shout at Kate?
B: In order to look calm."
17,1a,a,5,1a-5,"A: How didn't Lauren yell at Seth?
B: Constantly."
18,1a,b,5,1a-5,"A: Didn't Lauren yell at Seth?
B: No, she didn't."
19,1a,c,5,1a-5,"A: Why didn't Lauren yell at Seth?
B: Because he was close-by."
20,1a,d,5,1a-5,"A: Why didn't Lauren yell at Seth?
B: In order to feel less guilty."
21,1a,a,6,1a-6,"A: How didn't Kate follow Rachel?
B: Intensely."
22,1a,b,6,1a-6,"A: Didn't Kate follow Rachel?
B: No, she didn't."
23,1a,c,6,1a-6,"A: Why didn't Kate follow Rachel?
B: Because she was tired."
24,1a,d,6,1a-6,"A: Why didn't Kate follow Rachel?
B: In order to remain safe."
25,1a,a,7,1a-7,"A: How didn't Helen betray Lydia?
B: Predictably."
